,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-28 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-28 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-28 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-28 23:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-28 23:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 00:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 00:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 01:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 01:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 02:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 02:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 03:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 03:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 08:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 08:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 09:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 09:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 10:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 10:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 11:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 11:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 12:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 12:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 13:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 13:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 14:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 14:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 15:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 15:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 16:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 16:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 17:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 18:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 19:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 20:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 20:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 21:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 23:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-01 23:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 00:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 00:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 01:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 01:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 02:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 02:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 03:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 03:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 08:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 08:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 09:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 09:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 10:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 10:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 11:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 11:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 12:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 12:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 13:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 13:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 14:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 14:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 15:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 15:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 16:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 16:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 17:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 18:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 19:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 20:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 20:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 21:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 23:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-02 23:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 00:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 00:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 01:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 01:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 02:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 02:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 03:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 03:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 08:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 08:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 09:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 09:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 10:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 10:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 11:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 11:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 12:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 12:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 13:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 13:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 14:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 14:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 15:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 15:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 16:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 16:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 17:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 18:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 19:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 20:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 20:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 21:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 23:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-03 23:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 00:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 00:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 01:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 01:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 02:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 02:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 03:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 03:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 08:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 08:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 09:00:00,0,0,0,0.18612817485,0,0.0,0,0.0,0.0,0,0
2017-03-04 09:30:00,0,0,0,0.2124674107,0,0.0,0,0.0,0.0,0,0
2017-03-04 10:00:00,0,0,0,0.653257567525,0,0.0,0,0.0,0.0,0,0
2017-03-04 10:30:00,0,0,0,0.790251694925,0,0.0,0,0.0,0.0,0,0
2017-03-04 11:00:00,0,0,0,1.26495850725,0,0.0,0,0.0,0.0,0,0
2017-03-04 11:30:00,0,0,0,0.4391208241,0,0.0,0,0.0,0.0,0,0
2017-03-04 12:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 12:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 13:00:00,0,0,0,1.043671067,0,0.0,0,0.0,0.0,0,0
2017-03-04 13:30:00,0,0,0,2.32709360165,0,0.0,0,1.87083115685,0.0,0,0
2017-03-04 14:00:00,0,0,0,1.88796068897,0,0.0,0,2.07108838342,0.0,0,0
2017-03-04 14:30:00,0,0,0,1.90505024188,0,0.0,0,2.27859183265,0.0,0,0
2017-03-04 15:00:00,0,0,0,0.0,0,0.0,0,0.104448323229,0.0,0,0
2017-03-04 15:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 16:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 16:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 17:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 18:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-03-04 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
